,Unnamed: 0,Country/Region,dates,confirmed_cases,iso_code
0,0,Afghanistan,2020-01-22,0,AFG
1,1,Afghanistan,2020-01-23,0,AFG
2,2,Afghanistan,2020-01-24,0,AFG
3,3,Afghanistan,2020-01-25,0,AFG
4,4,Afghanistan,2020-01-26,0,AFG
5,5,Afghanistan,2020-01-27,0,AFG
6,6,Afghanistan,2020-01-28,0,AFG
7,7,Afghanistan,2020-01-29,0,AFG
8,8,Afghanistan,2020-01-30,0,AFG
9,9,Afghanistan,2020-01-31,0,AFG
10,10,Afghanistan,2020-02-01,0,AFG
11,11,Afghanistan,2020-02-02,0,AFG
12,12,Afghanistan,2020-02-03,0,AFG
13,13,Afghanistan,2020-02-04,0,AFG
14,14,Afghanistan,2020-02-05,0,AFG
15,15,Afghanistan,2020-02-06,0,AFG
16,16,Afghanistan,2020-02-07,0,AFG
17,17,Afghanistan,2020-02-08,0,AFG
18,18,Afghanistan,2020-02-09,0,AFG
19,19,Afghanistan,2020-02-10,0,AFG
20,20,Afghanistan,2020-02-11,0,AFG
21,21,Afghanistan,2020-02-12,0,AFG
22,22,Afghanistan,2020-02-13,0,AFG
23,23,Afghanistan,2020-02-14,0,AFG
24,24,Afghanistan,2020-02-15,0,AFG
25,25,Afghanistan,2020-02-16,0,AFG
26,26,Afghanistan,2020-02-17,0,AFG
27,27,Afghanistan,2020-02-18,0,AFG
28,28,Afghanistan,2020-02-19,0,AFG
29,29,Afghanistan,2020-02-20,0,AFG
30,30,Afghanistan,2020-02-21,0,AFG
31,31,Afghanistan,2020-02-22,0,AFG
32,32,Afghanistan,2020-02-23,0,AFG
33,33,Afghanistan,2020-02-24,5,AFG
34,34,Afghanistan,2020-02-25,5,AFG
35,35,Afghanistan,2020-02-26,5,AFG
36,36,Afghanistan,2020-02-27,5,AFG
37,37,Afghanistan,2020-02-28,5,AFG
38,38,Afghanistan,2020-02-29,5,AFG
39,39,Afghanistan,2020-03-01,5,AFG
40,40,Afghanistan,2020-03-02,5,AFG
41,41,Afghanistan,2020-03-03,5,AFG
42,42,Afghanistan,2020-03-04,5,AFG
43,43,Afghanistan,2020-03-05,5,AFG
44,44,Afghanistan,2020-03-06,5,AFG
45,45,Afghanistan,2020-03-07,8,AFG
46,46,Afghanistan,2020-03-08,8,AFG
47,47,Afghanistan,2020-03-09,8,AFG
48,48,Afghanistan,2020-03-10,8,AFG
49,49,Afghanistan,2020-03-11,11,AFG
50,50,Afghanistan,2020-03-12,11,AFG
51,51,Afghanistan,2020-03-13,11,AFG
52,52,Afghanistan,2020-03-14,14,AFG
53,53,Afghanistan,2020-03-15,20,AFG
54,54,Afghanistan,2020-03-16,25,AFG
55,55,Afghanistan,2020-03-17,26,AFG
56,56,Afghanistan,2020-03-18,26,AFG
57,57,Afghanistan,2020-03-19,26,AFG
58,58,Afghanistan,2020-03-20,24,AFG
59,59,Afghanistan,2020-03-21,24,AFG
60,60,Afghanistan,2020-03-22,34,AFG
61,61,Afghanistan,2020-03-23,40,AFG
62,62,Afghanistan,2020-03-24,42,AFG
63,63,Afghanistan,2020-03-25,74,AFG
64,64,Afghanistan,2020-03-26,80,AFG
65,65,Afghanistan,2020-03-27,91,AFG
66,66,Afghanistan,2020-03-28,106,AFG
67,67,Afghanistan,2020-03-29,114,AFG
68,68,Afghanistan,2020-03-30,114,AFG
69,69,Afghanistan,2020-03-31,166,AFG
70,70,Afghanistan,2020-04-01,192,AFG
71,71,Afghanistan,2020-04-02,235,AFG
72,72,Afghanistan,2020-04-03,269,AFG
73,73,Afghanistan,2020-04-04,270,AFG
74,74,Afghanistan,2020-04-05,299,AFG
75,75,Afghanistan,2020-04-06,337,AFG
76,76,Afghanistan,2020-04-07,367,AFG
77,77,Afghanistan,2020-04-08,423,AFG
78,78,Afghanistan,2020-04-09,444,AFG
79,79,Afghanistan,2020-04-10,521,AFG
80,80,Afghanistan,2020-04-11,521,AFG
81,81,Afghanistan,2020-04-12,555,AFG
82,82,Afghanistan,2020-04-13,607,AFG
83,83,Afghanistan,2020-04-14,665,AFG
84,84,Afghanistan,2020-04-15,770,AFG
85,85,Afghanistan,2020-04-16,794,AFG
86,86,Afghanistan,2020-04-17,845,AFG
87,87,Afghanistan,2020-04-18,908,AFG
88,88,Afghanistan,2020-04-19,933,AFG
89,89,Afghanistan,2020-04-20,996,AFG
90,90,Afghanistan,2020-04-21,1026,AFG
91,91,Afghanistan,2020-04-22,1092,AFG
92,92,Afghanistan,2020-04-23,1176,AFG
93,93,Afghanistan,2020-04-24,1226,AFG
94,94,Afghanistan,2020-04-25,1330,AFG
95,95,Afghanistan,2020-04-26,1463,AFG
96,96,Afghanistan,2020-04-27,1531,AFG
97,97,Afghanistan,2020-04-28,1703,AFG
98,98,Afghanistan,2020-04-29,1827,AFG
99,99,Afghanistan,2020-04-30,1827,AFG
100,100,Afghanistan,2020-05-01,2171,AFG
101,101,Afghanistan,2020-05-02,2469,AFG
102,102,Afghanistan,2020-05-03,2469,AFG
103,103,Afghanistan,2020-05-04,2469,AFG
104,104,Afghanistan,2020-05-05,2469,AFG
105,105,Afghanistan,2020-05-06,3224,AFG
106,106,Afghanistan,2020-05-07,3392,AFG
107,107,Afghanistan,2020-05-08,3563,AFG
108,108,Afghanistan,2020-05-09,3563,AFG
109,109,Afghanistan,2020-05-10,4402,AFG
110,110,Afghanistan,2020-05-11,4664,AFG
111,111,Afghanistan,2020-05-12,4967,AFG
112,112,Afghanistan,2020-05-13,4967,AFG
113,113,Afghanistan,2020-05-14,5339,AFG
114,114,Afghanistan,2020-05-15,6053,AFG
115,115,Afghanistan,2020-05-16,6402,AFG
116,116,Afghanistan,2020-05-17,6635,AFG
